"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW200322_091133",34,48,-18,14,16.8,-8.7,6,3600,7000,-2000,0.24,0.45,-0.51,55,15.5,15.7,-3.7,0.6,0.84,-0.3,53,2020-03-22 09:11:51,3
"GW200316_215756",13.1,10.2,-2.9,7.8,1.9,-2.9,10.3,1120,470,-440,0.13,0.27,-0.1,21.2,8.75,0.62,-0.55,0.22,0.08,-0.08,20.2,2020-03-16 21:58:14,3
"GW200311_115853",34.2,6.4,-3.8,27.7,4.1,-5.9,17.8,1170,280,-400,-0.02,0.16,-0.2,61.9,26.6,2.4,-2,0.23,0.05,-0.07,59,2020-03-11 11:59:11,3
"GW200308_173609",36.4,11.2,-9.6,13.8,7.2,-3.3,7.1,5400,2700,-2600,0.65,0.17,-0.21,50.6,19,4.8,-2.8,0.83,0.32,-0.35,47.4,2020-03-08 17:36:27,3
"GW200306_093714",28.3,17.1,-7.7,14.8,6.5,-6.4,7.8,2100,1700,-1100,0.32,0.28,-0.46,43.9,17.5,3.5,-3,0.38,0.24,-0.18,41.7,2020-03-06 09:37:32,3
"GW200302_015811",37.8,8.7,-8.5,20,8.1,-5.7,10.8,1480,1020,-700,0.01,0.25,-0.26,57.8,23.4,4.7,-3,0.28,0.16,-0.12,55.5,2020-03-02 01:58:29,3
"GW200225_060421",19.3,5,-3,14,2.8,-3.5,12.5,1150,510,-530,-0.12,0.17,-0.28,33.5,14.2,1.5,-1.4,0.22,0.09,-0.1,32.1,2020-02-25 06:04:39,2
"GW200224_222234",40,6.9,-4.5,32.5,5,-7.2,20,1710,490,-640,0.1,0.15,-0.15,72.2,31.1,3.2,-2.6,0.32,0.08,-0.11,68.6,2020-02-24 22:22:52,2
"GW200220_124850",38.9,14.1,-8.6,27.9,9.2,-9,8.5,4000,2800,-2200,-0.07,0.27,-0.33,67,28.2,7.3,-5.1,0.66,0.36,-0.31,64,2020-02-20 12:49:08,2
"GW200220_061928",87,40,-23,61,26,-25,7.2,6000,4800,-3100,0.06,0.4,-0.38,148,62,23,-15,0.9,0.55,-0.4,141,2020-02-20 06:19:46,2
